Process ID, Creation Time,Priority, time stamps when a process got scheduled,time stamps when a process got preempted from CPU,time stamp when a process completed execution. 
1, 0 ,3,_0 _150 _300 ,_150 _300 _384 ,384
2, 150 ,4,_3953 _4153 _4353 _4553 ,_4153 _4353 _4553 _4731 ,4731
3, 300 ,4,_4731 _4931 _5131 _5331 ,_4931 _5131 _5331 _5525 ,5525
4, 384 ,1,_384 _434 _484 _534 _584 _634 _684 _734 ,_434 _484 _534 _584 _634 _684 _734 _771 ,771
5, 434 ,2,_1848 _1948 _2048 _2148 _2248 _2348 _2448 ,_1948 _2048 _2148 _2248 _2348 _2448 _2498 ,2498
6, 484 ,4,_944 _1144 ,_1144 _1307 ,1307
7, 534 ,4,_2498 _2698 _2898 _3098 ,_2698 _2898 _3098 _3189 ,3189
8, 584 ,3,_3189 _3339 _3489 _3639 _3789 _3939 ,_3339 _3489 _3639 _3789 _3939 _3953 ,3953
9, 634 ,3,_1307 _1457 _1607 _1757 ,_1457 _1607 _1757 _1848 ,1848
10, 684 ,1,_771 _821 _871 _921 ,_821 _871 _921 _944 ,944
